  UID   PID  PPID   C STIME   TTY           TIME CMD
    0     1     0   0  9May20 ??         3:19.72 /sbin/launchd
    0   142     1   0  9May20 ??         0:14.31 /usr/sbin/syslogd
    0   143     1   0  9May20 ??         0:06.35 /usr/libexec/UserEventAgent (System)
    0   146     1   0  9May20 ??         0:01.60 /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
    0   147     1   0  9May20 ??         0:25.83 /usr/libexec/kextd
    0   148     1   0  9May20 ??         2:10.98 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
    0   150     1   0  9May20 ??         0:02.45 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
    0   153     1   0  9May20 ??         0:25.29 /usr/sbin/systemstats --daemon
    0   154     1   0  9May20 ??         0:47.21 /usr/libexec/configd
    0   155     1   0  9May20 ??         0:00.03 endpointsecurityd
    0   156     1   0  9May20 ??         0:30.31 /System/Library/CoreServices/powerd.bundle/powerd
    0   160     1   0  9May20 ??         1:35.85 /usr/libexec/logd
    0   161     1   0  9May20 ??         0:00.21 /usr/libexec/keybagd -t 15
    0   164     1   0  9May20 ??         0:01.09 /usr/libexec/watchdogd
    0   168     1   0  9May20 ??         9:37.50 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
  240   169     1   0  9May20 ??         0:00.33 /System/Library/CoreServices/iconservicesd
    0   170     1   0  9May20 ??         0:10.43 /usr/libexec/diskarbitrationd
    0   173     1   0  9May20 ??         0:27.56 /usr/libexec/coreduetd
    0   174     1   0  9May20 ??         0:00.03 /Library/SuperSAN/SuperSAN
    0   178     1   0  9May20 ??         1:03.27 /usr/libexec/opendirectoryd
    0   179     1   0  9May20 ??         0:15.97 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
    0   181     1   0  9May20 ??         0:00.09 /Library/PrivilegedHelperTools/com.docker.vmnetd
    0   182     1   0  9May20 ??         1:37.85 /System/Library/CoreServices/launchservicesd
  266   183     1   0  9May20 ??         0:02.59 /usr/libexec/timed
  213   184     1   0  9May20 ??         0:00.49 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
    0   185     1   0  9May20 ??         0:35.87 /usr/sbin/securityd -i
    0   186     1   0  9May20 ??         0:00.03 auditd -l
  205   188     1   0  9May20 ??         0:47.13 /usr/libexec/locationd
    0   191     1   0  9May20 ??         0:00.02 autofsd
  244   192     1   0  9May20 ??         0:00.70 /usr/libexec/displaypolicyd -k 1
    0   194     1   0  9May20 ??         0:40.04 /usr/libexec/dasd
    0   195     1   0  9May20 ??         0:00.43 /System/Library/PrivateFrameworks/Heimdal.framework/Helpers/kdc
    0   199     1   0  9May20 ??         0:00.15 /System/Library/CoreServices/logind
